,Overall Performance,Performance on All Target,Performance on Organic Target,Performance on Optimized Target
0,0.203835,0.21089236315518023,0.21089236315518023,
1,0.201835,0.21087278223364422,0.21029300637525677,0.26609224531170805
2,0.20331,0.2122683954892045,0.21104641472711924,0.26858275520317143
3,0.203765,0.21272320841551612,0.21111328294674658,0.26256513699781475
4,0.20507,0.21398616117235392,0.21156222369887914,0.2694919517102616
5,0.20372,0.21275699581435753,0.20975834727091888,0.26690748545053183
6,0.20499,0.21428571428571427,0.21102876311309146,0.26266588765545446
7,0.206315,0.2153813760067379,0.21132938505913879,0.26554905966049164
8,0.20616,0.21531531057420575,0.2108529269806247,0.2639053994869549
9,0.20879,0.21791971378965644,0.21250225059096162,0.27004974012183536
10,0.207325,0.2163085706475168,0.2104895145984758,0.2657513729405891
11,0.207975,0.21728691476590636,0.21054418729336075,0.26859785121719026
12,0.20828,0.2173421112181157,0.21010220244153624,0.2674728940783987
13,0.209865,0.2192104612047863,0.2113142319649652,0.26848604970269857
14,0.20997,0.2191644509963935,0.2111345444678778,0.26604976055881613
15,0.209645,0.21896485515441955,0.20935418983245668,0.27021085240331766
16,0.212015,0.22120094492994577,0.21177021621347916,0.2676539360872954
17,0.21056,0.21997998841434516,0.21008985434744964,0.26537340672926907
18,0.212015,0.2213877851748546,0.2107015596705415,0.26719341197418206
19,0.212275,0.22150210686348262,0.21034655224607446,0.26594824195705186
20,0.215295,0.2250406795191128,0.21370903170705668,0.26746945811577183
21,0.213315,0.22277350141795088,0.21058919615797395,0.2658427180759687
22,0.21442,0.22380649334939226,0.2102500666343177,0.26908153017438147
23,0.215685,0.22549324178456906,0.21135000832824385,0.26996006895197366
24,0.215615,0.22508001347595386,0.21022323282810862,0.26912080803021765
25,0.21601,0.2255088723767024,0.21116817802979035,0.26605837210707595
26,0.217425,0.22722103467520297,0.2109184375339391,0.2706729191995214
27,0.216325,0.22583005627589403,0.2091702349946291,0.26773256351894004
28,0.21607,0.22588089016269072,0.20905010384022749,0.266645032181297
29,0.21952,0.2293370380895246,0.21129208536992622,0.27013900806590013
30,0.21743,0.22725885225885226,0.2090826786152713,0.26695937793269875
31,0.217765,0.22750637939652224,0.2090051718892607,0.26583915179725887
32,0.221065,0.2305981216015818,0.21045539217629108,0.27029856109488026
33,0.221645,0.2316871517794138,0.2122407729312366,0.26801492244256825
34,0.221785,0.23164936028672628,0.21070909583507796,0.26904580376517506
35,0.222175,0.2322175071340571,0.2112353181450638,0.2681891586754891
36,0.22211,0.2321013004791239,0.2092993727621321,0.26962238658365023
37,0.22173,0.231738658745958,0.2096188279044143,0.26659793255012615
38,0.22312,0.2332957799865229,0.2102784137581488,0.2681744749596123
39,0.22443,0.23470806302131603,0.20909749358418356,0.2713939875241767
40,0.224985,0.23508790398989368,0.21053968023651254,0.26904693204200175
41,0.22421,0.2342521549682675,0.209366774181589,0.2669418267708866
42,0.22683,0.23690094754065585,0.21050599050561375,0.2703002276438268
43,0.225655,0.23565437918951057,0.20995379283788987,0.26663417577572
44,0.226495,0.2366485752338638,0.21067605882526072,0.2667211922937114
45,0.22722,0.23725568576297573,0.21037705703786547,0.26717048232940654
46,0.22942,0.23959516298633018,0.21048667792953246,0.2707032694524809
47,0.227345,0.23766759489806125,0.20853233778964272,0.2673668321409969
48,0.228465,0.23866333377187213,0.20962202966349477,0.26712514327393977
49,0.23041,0.24072602501828747,0.2127073027219038,0.26689873482141946
50,0.2288,0.23918710404499471,0.20865199175367427,0.2668285390349865
51,0.228785,0.23918991444536816,0.2105239195510887,0.26383357632807225
52,0.232945,0.2434345933369479,0.21313936572592376,0.26845302168230045
53,0.230605,0.24128415242990459,0.2108102957466322,0.26543751829089846
54,0.23205,0.2425189722862526,0.2085032601528731,0.26828591512819566
55,0.23409,0.24458606770901858,0.2083432330027886,0.2709223080417992
56,0.234485,0.24485285993149425,0.21208298289879451,0.267899231961858
57,0.232965,0.2434350080269495,0.20813837337679408,0.2670125811011317
58,0.23432,0.2450418965009053,0.2112598223552087,0.26668624081382397
59,0.23301,0.24349973930491844,0.20950969978196454,0.2640519230281672
60,0.235295,0.2457087245850759,0.21170824789245843,0.26562721592378474
61,0.234485,0.24510371391587124,0.2077006826741996,0.2659288628209119
62,0.236475,0.2470221646744251,0.2100665369121441,0.2668218708571798
63,0.234185,0.24480452160550675,0.20904755158898805,0.2627638548501858
64,0.239195,0.24984739091081315,0.21175224986765484,0.2684449178093993
65,0.23734,0.24818321028452953,0.20973252228980918,0.2659273387270434
66,0.240665,0.25156421846961813,0.21490903457890842,0.2677060910165843
67,0.23799,0.24887290117344682,0.207895066927088,0.2659311805819739
68,0.23893,0.24974587206699497,0.20946510462115445,0.26569806770389104
69,0.242015,0.2529171206164243,0.2114757244290923,0.2685783492519345
70,0.24047,0.25143934725009615,0.211892129094028,0.2656307038200832
71,0.24049,0.25101781036641174,0.20947787796183687,0.2649272594506544
72,0.240445,0.2514017363103668,0.20894842947258893,0.26501960893388593
73,0.242075,0.2530349991843522,0.21218401275335913,0.26531073137014705
74,0.24314,0.25425442823960687,0.21244167962674962,0.26605702862237113
